frst_next_dstn_nm,dstn_coord_x,dstn_coord_y,vst_cnt,sum_stay_min,second_dstn_addr,second_dstn_x,second_dstn_y,영역 구분,목적지 구분
아트오브램/전주본점,127.50122731090528,36.10015034144786,7,780.0333333333333,,,,0,2차 목적지
연산대추문화축제,127.50122731090528,36.10015034144786,7,795.4833333333333,,,,0,2차 목적지
삼거리추어탕,127.49894033593864,36.10132456713775,7,2598.6916666666666,,,,0,2차 목적지
새에덴교회,127.50122731090528,36.10015034144786,7,2211.6833333333334,,,,0,2차 목적지
뜨란채펜션,127.50122731090528,36.10015034144786,7,1238.3194444444446,,,,0,2차 목적지
천안중앙시장,127.49682863286772,36.1008166030129,7,1013.0666666666667,,,,0,2차 목적지
기쁜소식동대전교회,127.50122731090528,36.10015034144786,6,1008.8499999999999,,,,0,2차 목적지
홍성남당항대하축제,127.50122731090528,36.10015034144786,6,771.4083333333333,,,,0,2차 목적지
하나로마트/금산인삼농협점,127.50122731090528,36.10015034144786,6,637.5833333333334,,,,0,2차 목적지
함양산삼축제,127.50122731090528,36.10015034144786,6,875.6333333333333,,,,0,2차 목적지
호텔아트,127.50122731090528,36.10015034144786,6,1647.1,,,,0,2차 목적지
우렁이박사,127.49682863286772,36.1008166030129,6,600.75,,,,0,2차 목적지
영림몰딩도어/보은점,127.50122731090528,36.10015034144786,6,574.85,,,,0,2차 목적지
신세계컴퓨터,127.50122731090528,36.10015034144786,6,1439.54,,,,0,2차 목적지
호텔싸이,127.50122731090528,36.10015034144786,6,909.55,,,,0,2차 목적지
운일암반일암국민여가캠핑장,127.49682863286772,36.1008166030129,6,849.0749999999999,,,,0,2차 목적지
자갈치시장,127.49682863286772,36.1008166030129,6,677.5999999999999,,,,0,2차 목적지
스타벅스/계룡대로DT점,127.50122731090528,36.10015034144786,6,1216.6200000000001,,,,0,2차 목적지
더바움 더블유하우스/전주점,127.50122731090528,36.10015034144786,6,874.12,,,,0,2차 목적지
비터앤스위트/금산점,127.50122731090528,36.10015034144786,6,586.8,,,,0,2차 목적지
방동저수지,127.49682863286772,36.1008166030129,6,980.7833333333334,,,,0,2차 목적지
뿌리공원,127.49682863286772,36.1008166030129,6,1190.8399999999997,,,,0,2차 목적지
삼거리추어탕,127.50122731090528,36.10015034144786,6,565.8,,,,0,2차 목적지
마당있는집/[한식],127.49682863286772,36.1008166030129,6,623.54,,,,0,2차 목적지
다이소/금산2호점,127.50122731090528,36.10015034144786,6,1097.05,,,,0,2차 목적지
덕유산자연휴양림,127.50122731090528,36.10015034144786,6,965.2666666666667,,,,0,2차 목적지
금산인삼호텔,127.50122731090528,36.10015034144786,6,906.54,,,,0,2차 목적지
파리바게뜨/초록마을점,127.49682863286772,36.1008166030129,6,1139.3199999999997,,,,0,2차 목적지
금산행정의은행나무,127.50122731090528,36.10015034144786,6,820.74,,,,0,2차 목적지
청주성모병원,127.50122731090528,36.10015034144786,6,889.1833333333334,,,,0,2차 목적지
기범이네국수,127.50122731090528,36.10015034144786,6,825.1333333333332,,,,0,2차 목적지
풀문,127.50122731090528,36.10015034144786,5,388.98333333333335,,,,0,2차 목적지
12폭포,127.50122731090528,36.10015034144786,5,357.5416666666667,,,,0,2차 목적지
